[bulk_export] 10 task files under /home/u25s065008/datasets/libero/libero_goal
[bulk_export] 5583 clips planned ({'pool': 5583})
[bulk_export] starting 500 demo jobs with num_workers=2 (skipped_clips=0)
[bulk_export] demos=1/500 source_group=1/500 clips=12/5583 (done=12 skip=0 fail=0) elapsed=3.3min eta=1544.2min
[bulk_export] demos=2/500 source_group=2/500 clips=24/5583 (done=24 skip=0 fail=0) elapsed=3.7min eta=848.5min
[bulk_export] demos=3/500 source_group=3/500 clips=38/5583 (done=38 skip=0 fail=0) elapsed=7.8min eta=1141.0min
[bulk_export] demos=4/500 source_group=4/500 clips=50/5583 (done=50 skip=0 fail=0) elapsed=7.8min eta=865.4min
[bulk_export] demos=5/500 source_group=5/500 clips=63/5583 (done=63 skip=0 fail=0) elapsed=11.5min eta=1004.3min
[bulk_export] demos=6/500 source_group=6/500 clips=75/5583 (done=75 skip=0 fail=0) elapsed=11.7min eta=858.2min
[bulk_export] demos=7/500 source_group=7/500 clips=86/5583 (done=86 skip=0 fail=0) elapsed=14.8min eta=943.3min
[bulk_export] demos=8/500 source_group=8/500 clips=99/5583 (done=99 skip=0 fail=0) elapsed=15.7min eta=870.1min
[bulk_export] demos=9/500 source_group=9/500 clips=110/5583 (done=110 skip=0 fail=0) elapsed=18.7min eta=928.4min
[bulk_export] demos=10/500 source_group=10/500 clips=124/5583 (done=124 skip=0 fail=0) elapsed=19.0min eta=835.7min
[bulk_export] demos=11/500 source_group=11/500 clips=135/5583 (done=135 skip=0 fail=0) elapsed=22.7min eta=917.7min
[bulk_export] demos=12/500 source_group=12/500 clips=146/5583 (done=146 skip=0 fail=0) elapsed=22.7min eta=846.9min
[bulk_export] demos=13/500 source_group=14/500 clips=157/5583 (done=157 skip=0 fail=0) elapsed=26.2min eta=904.7min
[bulk_export] demos=14/500 source_group=13/500 clips=169/5583 (done=169 skip=0 fail=0) elapsed=26.9min eta=861.4min
[bulk_export] demos=15/500 source_group=15/500 clips=180/5583 (done=180 skip=0 fail=0) elapsed=29.9min eta=897.8min
[bulk_export] demos=16/500 source_group=16/500 clips=192/5583 (done=192 skip=0 fail=0) elapsed=30.1min eta=845.6min
[bulk_export] demos=17/500 source_group=18/500 clips=210/5583 (done=210 skip=0 fail=0) elapsed=34.7min eta=887.5min
[bulk_export] demos=18/500 source_group=17/500 clips=227/5583 (done=227 skip=0 fail=0) elapsed=35.0min eta=825.4min
[bulk_export] demos=19/500 source_group=20/500 clips=238/5583 (done=238 skip=0 fail=0) elapsed=38.1min eta=856.1min
[bulk_export] demos=20/500 source_group=19/500 clips=249/5583 (done=249 skip=0 fail=0) elapsed=38.4min eta=823.3min
[bulk_export] demos=21/500 source_group=22/500 clips=260/5583 (done=260 skip=0 fail=0) elapsed=41.2min eta=843.8min
[bulk_export] demos=22/500 source_group=21/500 clips=270/5583 (done=270 skip=0 fail=0) elapsed=41.5min eta=816.3min
[bulk_export] demos=23/500 source_group=23/500 clips=281/5583 (done=281 skip=0 fail=0) elapsed=45.1min eta=851.1min
[bulk_export] demos=24/500 source_group=24/500 clips=293/5583 (done=293 skip=0 fail=0) elapsed=45.2min eta=816.1min
[bulk_export] demos=25/500 source_group=25/500 clips=307/5583 (done=307 skip=0 fail=0) elapsed=48.8min eta=837.9min
[bulk_export] demos=26/500 source_group=26/500 clips=321/5583 (done=321 skip=0 fail=0) elapsed=50.0min eta=820.1min
